trail_id,trail_name,area_id,area_name,routeType,popularity,state,longitude,latitude,activities,features,obstacles,avgRating,difficulty,duration,elevationGain,elevationMax,elevationStart,length,completedCount,photoCount,reviewCount,trackCount,overview
10029098,Breakneck Ridge Trail,10113666.0,Hudson Highlands State Park,Loop,60.7655,New York,-73.97939000000001,41.44549,"['Birding', 'Hiking', 'Nature Trips', 'Paddle Sports', 'Rock Climbing', 'Snowshoeing', 'Trail Running', 'Walking']","['Dogs', 'Forest', 'River', 'Views', 'Wild Flowers', 'Wildlife']","['Rocky', 'Scramble', 'Snow']",4.5,5.0,21600.0,425.8056,371.856,2.7432000000000003,6598.293999999999,2777,643,1026,765,"Breakneck Ridge Trail is a 4.1 mile moderately trafficked loop trail located near Beacon, New York that features a river and is rated as difficult. The trail offers a number of activity options and is best used from March until November. Dogs are also able to use this trail."
10016692,Bear Mountain Loop Trail,10113386.0,Bear Mountain State Park,Loop,51.9378,New York,-73.98898,41.311859999999996,"['Birding', 'Camping', 'Hiking', 'Nature Trips', 'Trail Running', 'Walking', 'Cross Country Skiing']","['Dogs Leash', 'Forest', 'Lake', 'Kids', 'River', 'Views', 'Wild Flowers', 'Wildlife']","['Blowdown', 'Rocky', 'Scramble']",4.5,3.0,7200.0,361.7976000000001,395.9352,50.9016,6759.228,2194,779,688,684,"Bear Mountain Loop Trail is a 4.2 mile moderately trafficked loop trail located near Bear Mountain, New York that features a lake and is rated as moderate. The trail offers a number of activity options and is best used from March until November. Dogs are also able to use this trail but must be kept on leash."
10213388,Cascade Mountain and Porter Mountain via Cascade Mountain Trail,,,Out & Back,43.5097,New York,-73.88768,44.21897,"['Birding', 'Hiking', 'Nature Trips', 'Rock Climbing', 'Snowshoeing', 'Walking']","['Dogs Leash', 'Forest', 'Views', 'Wild Flowers', 'Wildlife']","['Muddy', 'Rocky', 'Scramble', 'Snow']",4.5,3.0,12600.0,698.9064000000002,1241.7552,662.94,9012.303999999998,1523,496,539,348,"Cascade Mountain and Porter Mountain via Cascade Mountain Trail is a 5.6 mile heavily trafficked out and back trail located near Lake Placid, New York that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from May until October. Dogs are also able to use this trail but must be kept on leash."
10030730,Anthony's Nose via Appalachian Trail,10113386.0,Bear Mountain State Park,Out & Back,37.6925,New York,-73.97611859999999,41.32247589999999,"['Birding', 'Hiking', 'Nature Trips', 'Trail Running', 'Walking']","['Dogs Leash', 'Forest', 'River', 'Views']",['Scramble'],4.5,5.0,14400.0,726.9480000000002,274.9296,63.7032,11909.116000000002,1182,212,397,307,"Anthony's Nose via Appalachian Trail is a 7.4 mile moderately trafficked out and back trail located near Cortlandt, New York that features a river and is rated as difficult. The trail offers a number of activity options and is best used from March until November. Dogs are also able to use this trail but must be kept on leash."
10239145,Sleeping Beauty Mountain and Lake George Trail,10163239.0,Lake George Wild Forest,Loop,37.2432,New York,-73.56560999999999,43.53156,"['Birding', 'Camping', 'Fishing', 'Hiking', 'Nature Trips', 'Snowshoeing', 'Trail Running', 'Walking']","['Dogs', 'Forest', 'Lake', 'Kids', 'Views', 'Wild Flowers', 'Wildlife']",['Rocky'],4.5,3.0,12600.0,383.7432,705.9168000000002,398.9832,11265.38,1008,365,383,229,"Sleeping Beauty Mountain and Lake George Trail is a 7 mile moderately trafficked loop trail located near Fort Ann, New York that features a lake and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail."
10035049,Overlook Mountain Trail,10120299.0,Catskill State Park,Out & Back,36.922,New York,-74.12276,42.07116,"['Birding', 'Hiking', 'Nature Trips', 'Snowshoeing', 'Trail Running', 'Walking']","['Dogs Leash', 'Views', 'Wild Flowers', 'Wildlife']",['Snow'],4.5,3.0,7200.0,424.8912,956.7672,536.7528,7724.8319999999985,1008,360,389,288,"Overlook Mountain Trail is a 4.8 mile heavily trafficked out and back trail located near Woodstock, New York that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash."
10019564,Gorge Trail and Indian Trail Loop,10113993.0,Watkins Glen State Park,Loop,36.484,New York,-76.8719119,42.375780999999996,"['Camping', 'Fishing', 'Hiking', 'Walking']","['Dogs No', 'Kids', 'River', 'Views', 'Waterfall']","['Muddy', 'Snow']",4.5,3.0,5400.0,171.90720000000005,303.8856,147.828,3862.416,1160,425,353,249,"Gorge Trail and Indian Trail Loop is a 2.4 mile moderately trafficked loop trail located near Watkins Glen, New York that features a waterfall and is rated as moderate. The trail is primarily used for hiking, walking, camping, and fishing and is best used from May until October."
10040629,Kaaterskill Falls Trail,10116949.0,Kaaterskill Wild Forest,Out & Back,35.0565,New York,-74.07061999999999,42.19128,"['Hiking', 'Nature Trips', 'Walking']","['Dogs', 'Forest', 'Kids', 'Views', 'Waterfall', 'Wild Flowers', 'Wildlife']",['Muddy'],4.5,1.0,5400.0,260.9088,632.7648,431.9016,4023.35,935,273,264,131,"Kaaterskill Falls Trail is a 2.5 mile heavily trafficked out and back trail located near Elka Park, New York that features a waterfall and is good for all skill levels. The trail is primarily used for hiking, walking, and nature trips and is best used from April until October. Dogs are also able to use this trail."
10033467,Mount Beacon Trail,10141140.0,Beacon Memorial Park,Loop,35.0242,New York,-73.95978000000001,41.49367,"['Birding', 'Hiking', 'Mountain Biking', 'Nature Trips', 'Trail Running', 'Walking']","['Dogs Leash', 'Forest', 'Views', 'Waterfall', 'Wild Flowers', 'Wildlife']","['Rocky', 'Scramble', 'Washed Out']",4.5,5.0,7200.0,730.9104,485.8512,63.7032,13196.587999999998,1048,337,372,311,"Mount Beacon Trail is a 8.2 mile moderately trafficked loop trail located near Beacon, New York that features a waterfall and is rated as difficult. The trail offers a number of activity options and is best used from March until October. Dogs are also able to use this trail but must be kept on leash."
10111549,Hadley Mountain Trail,10116919.0,Adirondack Park,Out & Back,34.6607,New York,-73.95066,43.373870000000004,"['Birding', 'Hiking', 'Nature Trips', 'Snowshoeing', 'Trail Running', 'Walking']","['Dogs Leash', 'Forest', 'Kids', 'River', 'Views', 'Wild Flowers']","['Old Growth', 'Rocky', 'Snow']",4.5,3.0,7200.0,475.7928,816.8639999999999,348.9960000000001,5471.7559999999985,965,427,351,216,"Hadley Mountain Trail is a 3.4 mile heavily trafficked out and back trail located near Hadley, New York that features a river and is rated as moderate. The trail offers a number of activity options and is best used from March until November. Dogs are also able to use this trail but must be kept on leash."
